Date,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat)
25 Jul,2584.35,2368.99,1938.27,1507.54,1076.81
26 Jul,2607.77,2390.45,1955.82,1521.2,1086.57
27 Jul,2600.75,2384.02,1950.56,1517.1,1083.65
28 Jul,2617.65,2399.51,1963.24,1526.96,1090.69
31 Jul,2616.64,2398.59,1962.48,1526.37,1090.27
1 Aug,2611.14,2393.54,1958.35,1523.16,1087.97
2 Aug,2584.71,2369.32,1938.53,1507.75,1076.96
3 Aug,2599.76,2383.12,1949.82,1516.53,1083.24
4 Aug,2580.09,2365.08,1935.06,1505.05,1075.04
7 Aug,2581.68,2366.54,1936.26,1505.98,1075.7
8 Aug,2585.1,2369.67,1938.82,1507.97,1077.12
9 Aug,2621.18,2402.75,1965.89,1529.02,1092.16
10 Aug,2653.79,2432.64,1990.34,1548.05,1105.75
11 Aug,2656.49,2435.12,1992.37,1549.62,1106.87
14 Aug,2640.06,2420.06,1980.05,1540.04,1100.03
15 Aug,2630.12,2410.94,1972.59,1534.24,1095.88
16 Aug,2642.14,2421.96,1981.61,1541.25,1100.89
17 Aug,2659.75,2438.1,1994.81,1551.52,1108.23
18 Aug,2646.91,2426.34,1985.19,1544.03,1102.88
21 Aug,2664.52,2442.48,1998.39,1554.3,1110.22
22 Aug,2643.42,2423.14,1982.57,1542.0,1101.43
23 Aug,2656.37,2435.0,1992.27,1549.55,1106.82
24 Aug,2649.39,2428.6,1987.04,1545.48,1103.91
25 Aug,2650.86,2429.95,1988.14,1546.33,1104.52
28 Aug,2703.05,2477.8,2027.29,1576.78,1126.27
29 Aug,2693.43,2468.97,2020.07,1571.17,1122.26
30 Aug,2689.59,2465.45,2017.19,1568.93,1120.66
31 Aug,2715.29,2489.02,2036.47,1583.92,1131.37
1 Sep,2718.81,2492.25,2039.11,1585.97,1132.84
4 Sep,2743.98,2515.31,2057.98,1600.65,1143.32
5 Sep,2765.52,2535.06,2074.14,1613.22,1152.3
6 Sep,2744.99,2516.24,2058.74,1601.24,1143.74
7 Sep,2774.25,2543.06,2080.69,1618.31,1155.94
8 Sep,2768.37,2537.67,2076.28,1614.88,1153.49
11 Sep,2730.74,2503.18,2048.05,1592.93,1137.81
12 Sep,2738.68,2510.46,2054.01,1597.56,1141.12
13 Sep,2726.22,2499.03,2044.66,1590.29,1135.92
14 Sep,2752.46,2523.09,2064.35,1605.6,1146.86
15 Sep,2722.65,2495.76,2041.99,1588.21,1134.44
18 Sep,2702.71,2477.48,2027.03,1576.58,1126.13
19 Sep,2710.43,2484.56,2032.82,1581.08,1129.35
20 Sep,2685.15,2461.39,2013.87,1566.34,1118.81
21 Sep,2692.27,2467.92,2019.21,1570.49,1121.78
22 Sep,2706.92,2481.34,2030.19,1579.04,1127.88
25 Sep,2745.92,2517.09,2059.44,1601.79,1144.13
26 Sep,2717.71,2491.24,2038.28,1585.33,1132.38
27 Sep,2704.65,2479.26,2028.48,1577.71,1126.94
28 Sep,2704.94,2479.53,2028.7,1577.88,1127.06
29 Sep,2684.93,2461.18,2013.7,1566.21,1118.72
2 Oct,2680.36,2457.0,2010.27,1563.54,1116.82
3 Oct,2678.04,2454.87,2008.53,1562.19,1115.85
4 Oct,2663.62,2441.65,1997.71,1553.78,1109.84
5 Oct,2661.15,2439.39,1995.86,1552.34,1108.81
6 Oct,2684.05,2460.38,2013.04,1565.7,1118.36
9 Oct,2699.29,2474.35,2024.46,1574.58,1124.7
10 Oct,2705.54,2480.08,2029.16,1578.23,1127.31
11 Oct,2709.91,2484.08,2032.43,1580.78,1129.13
12 Oct,2706.78,2481.21,2030.08,1578.95,1127.82
13 Oct,2710.72,2484.82,2033.04,1581.25,1129.46
16 Oct,2694.16,2469.64,2020.62,1571.59,1122.57
17 Oct,2685.15,2461.39,2013.86,1566.34,1118.81
18 Oct,2677.88,2454.72,2008.41,1562.1,1115.78
19 Oct,2692.72,2468.33,2019.54,1570.76,1121.97
20 Oct,2681.11,2457.68,2010.83,1563.98,1117.13
23 Oct,2682.54,2459.0,2011.91,1564.82,1117.73
24 Oct,2669.84,2447.35,2002.38,1557.4,1112.43
25 Oct,2667.65,2445.35,2000.74,1556.13,1111.52
26 Oct,2646.68,2426.13,1985.01,1543.9,1102.79
27 Oct,2656.65,2435.26,1992.49,1549.71,1106.94
30 Oct,2663.3,2441.36,1997.48,1553.59,1109.71
31 Oct,2641.06,2420.97,1980.79,1540.62,1100.44
1 Nov,2647.23,2426.62,1985.42,1544.21,1103.01
2 Nov,2650.22,2429.36,1987.66,1545.96,1104.26
3 Nov,2642.49,2422.28,1981.87,1541.45,1101.04
6 Nov,2658.69,2437.14,1994.02,1550.91,1107.79
7 Nov,2677.35,2454.23,2008.01,1561.79,1115.56
8 Nov,2675.77,2452.79,2006.83,1560.87,1114.9
9 Nov,2686.77,2462.87,2015.07,1567.28,1119.49
10 Nov,2681.37,2457.92,2011.03,1564.13,1117.24
13 Nov,2688.78,2464.71,2016.58,1568.45,1120.32
14 Nov,2694.4,2469.87,2020.8,1571.73,1122.67
15 Nov,2686.33,2462.47,2014.75,1567.03,1119.31
16 Nov,2682.73,2459.17,2012.04,1564.92,1117.8
17 Nov,2705.16,2479.73,2028.87,1578.01,1127.15
20 Nov,2675.16,2452.23,2006.37,1560.51,1114.65
